State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Unemployment,Income
Alabama,Autauga County,1845,899,946,2.4,86.3,5.2,0.0,1.2,0.0,4.6,67826.0
Alabama,Autauga County,2172,1167,1005,1.1,41.6,54.5,0.0,1.0,0.0,3.4,41287.0
Alabama,Autauga County,3385,1533,1852,8.0,61.4,26.5,0.6,0.7,0.4,4.7,46806.0
Alabama,Autauga County,4267,2001,2266,9.6,80.3,7.1,0.5,0.2,0.0,6.1,55895.0
Alabama,Autauga County,9965,5054,4911,0.9,77.5,16.4,0.0,3.1,0.0,2.3,68143.0
Alabama,Autauga County,3620,1765,1855,3.0,70.7,25.1,0.0,0.0,0.0,6.1,44549.0
Alabama,Autauga County,3420,1459,1961,4.0,78.0,13.7,0.6,0.0,0.0,16.9,41250.0
Alabama,Autauga County,2913,1495,1418,4.2,86.3,7.1,1.5,0.0,0.0,7.2,80089.0
Alabama,Autauga County,11333,5488,5845,1.4,81.8,15.3,0.0,1.0,0.0,2.2,64439.0
Alabama,Autauga County,6167,3111,3056,1.0,86.2,9.7,0.8,0.3,0.0,6.8,49469.0
Alabama,Autauga County,2796,1440,1356,0.8,71.5,25.7,0.8,0.0,0.0,6.0,46607.0
Alabama,Autauga County,3153,1487,1666,0.7,46.3,53.0,0.0,0.0,0.0,5.4,36450.0
Alabama,Baldwin County,3988,2170,1818,0.3,75.4,18.3,5.1,0.0,0.0,5.8,41387.0
Alabama,Baldwin County,3259,1522,1737,0.3,86.7,10.5,0.7,0.0,0.0,7.8,33769.0
Alabama,Baldwin County,9056,4378,4678,2.6,79.2,15.9,0.9,0.0,0.0,3.9,49583.0
Alabama,Baldwin County,4810,2436,2374,5.0,84.4,8.4,1.1,0.3,0.0,7.4,47178.0
Alabama,Baldwin County,5038,2750,2288,1.6,81.6,14.6,0.3,0.7,0.0,4.4,41071.0
Alabama,Baldwin County,3418,1682,1736,3.9,26.7,69.4,0.0,0.0,0.0,5.9,27722.0
Alabama,Baldwin County,8068,3966,4102,4.3,92.1,1.4,0.3,0.7,0.0,2.3,80800.0
Alabama,Baldwin County,17748,8863,8885,2.6,83.8,6.0,0.0,1.9,0.0,2.9,87373.0
Alabama,Baldwin County,5883,2799,3084,3.6,77.7,17.5,0.0,0.7,0.0,5.5,70132.0
Alabama,Baldwin County,9704,4754,4950,3.7,77.1,15.9,0.0,0.8,0.0,5.6,55217.0
Alabama,Baldwin County,7499,3754,3745,0.5,72.9,22.2,0.0,3.4,0.0,7.4,62684.0
Alabama,Baldwin County,5688,3144,2544,5.4,76.0,16.2,2.1,0.0,0.0,2.9,49286.0
Alabama,Baldwin County,6342,3239,3103,9.7,83.7,1.5,3.6,0.3,0.0,2.1,50411.0
Alabama,Baldwin County,8009,4107,3902,5.6,92.1,1.7,0.3,0.0,0.0,1.1,45067.0
Alabama,Baldwin County,5473,2543,2930,12.1,82.2,3.6,1.7,0.0,0.0,2.5,44804.0
Alabama,Baldwin County,4072,2134,1938,7.3,80.5,4.5,5.7,0.0,0.0,5.3,35490.0
Alabama,Baldwin County,10485,4676,5809,8.3,85.4,2.8,0.4,1.5,0.0,4.9,64486.0
Alabama,Baldwin County,4296,2012,2284,1.0,90.6,2.5,0.3,0.0,0.0,4.6,62000.0
Alabama,Baldwin County,5136,2652,2484,2.2,87.3,9.9,0.0,0.6,0.0,2.5,60846.0
Alabama,Baldwin County,6179,2706,3473,1.0,73.4,25.0,0.3,0.0,0.0,12.4,52500.0
Alabama,Baldwin County,4710,2154,2556,0.7,94.4,4.3,0.3,0.0,0.0,5.3,67917.0
Alabama,Baldwin County,10180,5420,4760,7.3,82.2,6.4,0.3,0.9,0.0,7.2,51695.0
Alabama,Baldwin County,10050,4533,5517,6.6,89.3,2.7,1.4,0.0,0.0,6.3,48245.0
Alabama,Baldwin County,4386,2253,2133,1.2,96.4,0.9,0.0,0.5,0.0,5.6,78578.0
Alabama,Baldwin County,3331,1599,1732,1.9,93.7,0.0,0.8,0.3,0.0,6.2,46833.0
Alabama,Baldwin County,5123,2479,2644,2.5,95.5,0.0,0.0,2.0,0.0,7.8,45190.0
Alabama,Baldwin County,708,294,414,0.0,100.0,0.0,0.0,0.0,0.0,29.4,54688.0
Alabama,Baldwin County,6334,3109,3225,4.4,80.8,11.1,0.0,1.8,0.0,7.1,45561.0
Alabama,Baldwin County,11801,5237,6564,5.4,77.4,15.4,0.5,0.0,0.0,12.3,37237.0
